    Name:   Type:   HP  Attack  Defense SpAtk SpDef Speed
	Victini	PSYCHIC_FIRE   100	100	100	100	100	100
	Snivy	GRASS    45	45	55	45	55	63
	Servine	GRASS  60	60	75	60	75	83
	Serperior	GRASS    75	75	95	75	95	113
	Tepig	FIRE 65	63	45	45	45	45
	Pignite    FIRE_FIGHTING   90  93  55  70  55  55
	Emboar	FIRE_FIGHTING   110 123 65  100 65  65
	Oshawott	WATER 55	55	45	63	45	45
	Dewott	WATER   75	75	60	83	60	60
	Samurott	WATER 95	100	85	108	70	70
	Patrat	NORMAL  45	55	39	35	39	42
	Watchog	NORMAL 60	85	69	60	69	77
	Lillipup	NORMAL    45	60	45	25	45	55
	Herdier    NORMAL  65  80  65  35  65  60
    Stoutland	NORMAL   85	110	90	45	90	80
	Purrloin	DARK  41	50	37	50	37	66
	Liepard	DARK   64	88	50	88	50	106
	Pansage	GRASS  50	53	48	53	48	64
	Simisage	GRASS 75  98	63	98	63	101
